id,gender,age,FD1,SD2,UP3,FW4,FD5,SD6,UP7,FW8,FD9,SD10,UP11,FW12,FD13,SD14,UP15,FW16,FD17,SD18,UP19,UP20,FW21,SD22,FW23,SD24,UP25,FW26,UP27,FW,SD,FD,UN,FAC1_1,FAC2_1,FAC3_1,FAC4_1
627,1,24,1,2,1,3,1,2,3,2,1,2,2,2,1,2,2,3,1,3,2,3,2,3,2,3,2,2,4,2.285714286,2.428571429,1,2.375,-1.254140074,-1.38746233,1.283332787,-0.6398889
629,1, ,3,3,3,3,3,3,3,4,3,3,4,4,3,3,3,3,3,4,3,3,3,4,3,3,3,3,3,3.285714286,3.285714286,3,3.125,1.562142013,0.240080145,0.065627408,0.649166961
638,1,24,4,3,3,2,2,1,4,4,2,2,4,3,3,3,3,3,2,2,4,4,2,3,3,3,4,2,4,2.714285714,2.428571429,2.6,3.75,0.790901888,-0.984434958,-1.16468795,-0.151901786
642,1,37,3,4,5,1,3,5,5,5,2,4,3,4,2,3,4,3,2,3,3,4,2,4,2,4,2,3,3,2.857142857,3.857142857,2.4,3.625,0.785875845,-0.507992504,-0.368633205,1.840168337
644,1,23,4,2,2,3,2,1,3,3,1,2,2,2,2,2,3,2,1,4,3,4,3,2,2,4,2,3,4,2.571428571,2.428571429,2,2.875,0.010205513,-1.170153835,0.381615476,-0.495695053
645,1,37,2,2,2,4,2,2,5,3,1,1,4,4,1,3,4,3,1,2,3,3,2,4,3,2,1,3,5,3.142857143,2.285714286,1.4,3.375,-1.00670508,0.023591236,-0.273634325,-1.076391188
647,1,23,4,3,2,3,1,3,5,4,1,3,5,5,4,3,2,2,1,4,5,5,3,3,3,3,1,2,5,3.142857143,3.142857143,2.2,3.75,0.023244021,-0.054046304,-1.083382625,0.384554074
648,1,19,1,2,5,4,4,1,5,5,5,1,5,5,2,5,5,5,1,2,4,5,5,4,4,5,5,5,5,4.714285714,2.857142857,2.6,4.875,0.921030184,2.268327687,-2.754249353,0.323204861
650,1,37,2,1,4,4,1,2,1,3,1,2,4,3,2,3,3,3,1,4,4,4,2,3,3,3,3,2,5,2.857142857,2.571428571,1.4,3.5,-0.755275091,-0.565053039,-0.74113717,-0.381223482
651,1,36,2,2,3,4,1,4,4,4,2,4,2,4,3,4,4,4,1,2,4,4,4,5,4,2,2,4,4,4,3.285714286,1.8,3.375,-0.223477753,1.436261328,-0.10446527,0.813403212
654,1,20,4,2,4,1,2,2,4,4,2,1,3,3,2,4,3,4,4,4,5,4,2,4,3,4,3,3,4,2.857142857,3,2.8,3.75,0.814326623,-0.383078596,-1.354699361,0.279100962
655,1,20,1,2,2,3,1,1,2,3,1,1,4,3,1,3,4,1,1,2,3,3,1,1,2,3,2,2,5,2.142857143,1.857142857,1,3.125,-1.29188614,-1.701775812,-0.071994696,-1.710462427
656,1,20,2,3,3,4,1,3,4,4,1,2,3,2,2,2,3,3,2,2,3,3,3,3,2,2,3,4,3,3.142857143,2.428571429,1.6,3.125,-0.394393144,-0.284759808,0.174721371,-0.467274956
657,1,23,1,3,2,4,1,3,3,3,1,1,2,3,4,4,4,3,1,2,3,4,4,3,3,3,2,3,3,3.285714286,2.714285714,1.6,2.875,-0.507568744,0.277278508,0.371281788,-0.223186113
659,1,22,4,2,1,1,2,1,5,4,1,2,5,4,3,2,4,3,4,3,4,4,3,2,2,3,2,4,5,3,2.142857143,2.8,3.75,0.934339277,-0.351540545,-1.167060763,-1.518420614
660,1,21,2,4,2,3,2,3,5,4,1,1,2,4,2,2,2,4,1,3,3,3,4,2,2,2,1,5,5,3.714285714,2.428571429,1.6,2.875,-0.732634055,0.633463572,0.584659984,-0.8043046
661,1,18,2,2,3,4,2,2,4,4,2,2,3,3,2,4,3,3,4,3,3,4,3,4,3,4,2,3,4,3.285714286,3,2.4,3.25,0.274972193,0.231840365,-0.156437746,0.343492792
662,1,23,2,3,4,4,2,4,4,2,1,1,3,4,3,4,3,5,5,4,2,2,4,4,4,4,2,4,2,3.857142857,3.428571429,2.6,2.75,0.727607822,1.32740892,0.547896414,0.52647758
