V1,Sexe,Age,FD1,SD2,UP3,FW4,FD5,SD6,UP7,FW8,FD9,SD10,UP11,FW12,FD13,SD14,UP15,FW16,FD17,SD18,UP19,UP20,FW21,SD22,FW23,SD24,UP25,FW26,UP27
701,1,25,3,4,2,4,2,3,5,4,3,3,3,4,3,3,3,3,2,4,3,2,4,3,3,4,3,4,4
702,1,35,1,3,3,4,1,4,3,4,1,3,3,4,3,3,3,4,1,3,3,3,4,3,4,3,2,3,4
704,1,25,1,3,1,4,1,3,3,4,1,3,1,5,1,3,5,5,1,5,3,1,3,4,4,3,1,4,2
705,1,21,2,3,2,2,2,1,2,4,2,2,3,3,3,4,3,3,2,2,3,2,2,4,2,2,2,3,3
706,1,37,3,3,3,4,2,2,4,4,2,2,3,4,3,2,3,4,2,3,3,4,4,3,4,2,2,2,4
707,1,30,5,4,4,2,4,3,4,2,1,4,4,4,2,5,2,3,2,2,4,4,3,4,3,3,4,3,3
708,1,20,3,3,2,3,2,1,4,4,2,2,2,4,2,3,4,3,2,2,2,3,2,3,2,3,3,3,4
710,1,23,3,3,2,2,2,2,4,4,2,1,2,2,3,3,2,1,1,2,2,3,4,3,2,3,2,2,5
711,1,44,1,2,2,2,2,2,4,3,2,2,3,3,2,2,2,2,2,2,2,3,2,2,2,3,2,2,4
712,1,19,4,3,4,2,2,2,4,4,2,3,4,3,4,4,3,2,2,3,4,4,3,3,2,3,2,5,4
713,1,22,3,2,2,1,1,4,3,4,2,1,4,5,1,2,2,2,1,3,4,4,2,2,2,2,2,3,2
715,1,25,2,2,1,2,2,2,4,4,2,2,2,4,2,4,4,3,2,4,2,4,2,4,4,4,2,4,4
716,1,23,1,3,2,3,1,3,3,4,1,2,2,4,2,4,2,4,2,2,2,4,3,3,3,3,2,4,4
718,1,21,1,3,2,4,1,3,5,4,1,3,2,5,1,4,4,4,1,3,4,1,3,2,4,3,4,1,5
719,1,22,3,3,2,3,2,2,4,4,1,2,3,4,2,2,2,5,1,3,4,4,4,4,4,2,1,3,4
721,1,20,2,3,2,3,1,2,4,4,2,2,2,2,2,4,2,4,2,4,2,5,2,4,2,4,2,3,5
722,1,23,2,4,2,2,3,2,5,4,2,3,4,3,2,3,2,5,2,2,3,4,3,2,3,3,2,4,2
724,1,19,3,5,4,2,1,5,3,3,1,3,2,4,1,4,3,1,1,4,4,4,2,5,2,4,3,4,5
725,1,23,1,3,1,4,1,2,4,4,2,3,1,4,2,3,3,4,2,3,3,3,4,4,4,4,2,3,4
148,1,21,2,3,2,4,1,1,5,3,2,2,4,5,2,1,4,3,1,2,2,4,4,4,4,3,4,4,4
149,1,22,1,3,2,4,1,2,4,3,1,3,4,2,2,4,2,3,1,2,3,4,2,4,2,4,3,3,3
152,1,38,2,4,1,2,3,3,3,1,2,5,1,2,1,2,2,5,1,4,3,4,3,3,3,2,2,2,1
158,1,23,3,2,2,3,3,3,4,5,3,3,3,3,2,3,4,5,4,3,5,4,2,2,4,3,2,4,3
159,1,20,1,3,3,5,1,2,5,5,1,2,4,2,1,3,4,5,2,3,2,4,5,4,2,4,2,4,4
160,1,27,2,2,4,2,3,1,5,3,3,2,2,4,3,4,2,1,1,1,4,1,1,4,3,4,3,3,4
161,1,32,3,4,3,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,2,1,3,1,5,3,1,5
162,1,48,5,1,3,3,5,5,5,2,5,3,5,3,5,3,5,5,5,3,5,5,3,2,3,3,3,3,3
164,1,21,1,2,3,5,1,4,5,5,1,1,5,5,1,3,5,5,1,5,5,1,5,4,5,5,5,3,5
166,1,19,1,1,5,3,1,4,5,4,1,1,4,4,1,4,4,4,1,2,5,5,2,3,2,3,3,1,5
167,1,28,3,2,2,3,1,2,4,5,1,2,2,5,2,2,3,3,2,2,2,4,2,3,2,1,3,2,5
168,1,19,1,2,4,2,1,2,4,4,1,1,4,3,2,4,4,3,2,3,4,5,2,1,3,4,2,4,5
173,1,30,2,2,4,3,1,2,3,4,1,2,4,4,2,3,3,4,2,3,4,4,4,4,4,4,3,4,4
174,1,21,1,2,3,3,2,1,4,3,1,2,2,3,1,3,3,3,1,2,3,2,2,2,2,3,2,3,3
175,1,37,1,2,3,3,1,1,1,2,1,1,3,2,1,3,4,4,1,3,4,4,3,2,3,3,3,3,5
177,1,38,1,1,1,3,1,1,2,2,1,1,1,4,1,1,3,1,1,4,2,1,1,4,1,1,1,3,2
179,1,19,1,2,2,3,1,2,4,4,1,2,3,4,2,3,2,2,4,3,4,5,2,4,2,4,2,2,5
180,1,20,1,1,3,3,1,1,5,5,1,1,4,3,2,1,3,4,1,3,4,4,4,1,4,1,2,4,5
181,1,23,1,3,2,3,2,1,4,2,2,2,3,2,2,3,3,2,1,3,1,3,2,1,2,3,2,2,4
186,1,30,1,3,3,4,1,2,4,4,1,2,4,4,1,4,2,4,1,2,2,3,3,3,3,3,2,3,4
