id,FD1,SD2,UP3,FW4,FD5,SD6,UP7,FW8,FD9,SD10,UP11,FW12,FD13,SD14,UP15,FW16,FD17,SD18,UP19,UP20,FW21,SD22,FW23,SD24,UP25,FW26,UP27
2786,2,3,2,2,3,3,3,3,3,3,2,3,2,3,2,4,2,2,3,3,3,3,3,3,3,3,2
2787,5,5,5,5,1,5,5,1,4,5,5,1,4,1,4,2,5,5,4,5,2,5,4,1,4,5,5
2788,5,5,2,5,5,1,5,5,5,5,5,3,5,5,4,5,5,5,4,4,5,5,5,3,1,2,5
2789,4,4,4,4,3,4,5,4,5,4,4,3,4,4,4,5,4,1,4,3,5,4,4,4,4,4,4
2790,2,2,4,4,2,4,4,2,2,2,4,4,2,4,2,4,2,4,2,2,5,2,4,2,4,4,4
2791,2,3,3,3,2,2,4,4,2,3,4,3,2,4,4,1,4,3,4,3,3,4,4,3,3,4,4
2792,3,3,3,4,2,3,3,3,2,3,4,3,3,3,3,4,3,2,4,3,3,4,3,3,4,3,4
2793,3,2,4,4,2,3,4,3,2,2,5,4,4,3,4,5,4,3,3,4,4,4,4,4,3,3,5
2794,4,4,4,4,2,2,4,4,4,2,4,4,4,2,5,4,2,4,2,4,4,4,4,4,5,5,4
2795,4,4,4,4,2,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4
2796,2,3,4,4,4,3,3,3,2,3,3,3,4,4,2,5,4,3,4,4,4,4,4,5,4,4,4
2797,4,2,3,5,2,2,3,4,5,2,4,4,2,2,2,5,2,2,2,5,2,4,3,4,3,4,3
2798,3,3,3,3,3,1,3,1,1,1,1,3,3,3,3,3,3,3,1,1,1,3,3,1,3,4,1
2799,4,4,4,5,4,3,5,5,4,3,4,3,3,5,4,5,4,3,5,4,3,4,5,3,5,4,5
2800,3,4,2,4,2,3,3,4,2,3,3,4,2,4,2,4,4,4,2,2,4,4,3,3,4,3,3
2801,2,3,2,3,2,2,5,2,2,3,3,2,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3
2802,1,3,5,4,2,1,5,4,1,1,5,2,3,2,4,4,2,2,4,5,4,3,4,2,4,3,5
2803,5,1,4,4,5,3,4,4,5,1,4,4,2,3,4,5,5,2,2,4,4,4,2,3,4,5,5
2804,3,2,2,4,2,2,4,4,3,3,4,3,2,3,4,4,4,4,2,4,4,4,4,4,3,4,4
2805,4,2,4,2,3,5,4,4,4,3,5,2,4,4,4,4,5,4,4,5,4,2,5,2,4,4,5
2806,3,3,4,4,3,2,3,2,2,3,4,3,2,3,3,5,4,3,3,3,4,4,3,4,4,4,3
2807,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2808,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,5,3,5
2809,2,2,2,3,3,2,2,2,2,2,3,2,3,2,3,4,2,2,1,2,3,3,3,2,2,2,2
2810,2,2,3,5,2,2,3,2,1,2,4,4,2,2,3,4,3,4,3,3,4,3,5,4,3,2,2
2811,3,3,3,4,3,2,4,4,3,3,4,4,2,4,2,2,3,2,4,4,4,4,4,3,3,4,4
2812,3,1,4,4,2,2,5,2,2,2,4,4,2,3,2,3,4,2,4,3,4,3,3,4,4,3,5
2813,3,3,3,4,2,2,4,2,3,3,4,3,2,3,4,4,4,3,5,4,3,2,4,3,4,3,4
2814,4,2,2,4,2,2,2,3,4,2,2,4,2,4,2,4,4,4,2,4,4,3,4,2,2,4,2
2815,2,4,2,5,2,2,4,2,2,2,4,4,2,2,3,4,3,3,3,3,4,3,3,2,2,3,2
2816,2,3,5,4,2,1,5,2,1,4,4,1,2,5,3,4,4,1,5,5,2,1,5,5,2,5,2
2817,2,2,4,4,4,1,4,3,1,1,4,4,4,4,4,4,4,2,2,4,4,4,3,2,4,3,4
2818,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1
2819,4,3,4,3,4,2,4,4,4,4,5,3,3,2,4,3,4,4,3,4,4,5,3,5,4,4,4
2820,2,2,2,4,2,2,4,3,1,1,4,2,2,4,2,5,4,2,2,2,4,4,3,4,4,4,4
2821,2,4,4,4,3,3,3,3,2,2,3,3,3,3,4,4,3,4,4,2,3,4,4,3,3,3,4
2822,3,3,4,4,2,2,3,4,3,3,3,4,3,3,4,4,4,3,2,3,3,4,4,3,3,3,3
2823,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2824,2,3,4,4,2,1,5,2,2,1,5,3,2,3,3,2,4,2,4,4,4,4,4,2,2,3,2
2825,3,3,3,4,4,3,4,4,2,2,4,4,5,4,5,5,2,3,4,3,4,4,5,4,4,5,4
2826,1,1,5,3,4,1,5,2,1,1,5,1,4,2,3,1,4,4,5,5,2,1,5,2,5,1,5
2827,3,3,3,5,2,3,4,3,3,2,4,3,5,4,4,3,4,2,3,3,3,4,2,3,3,4,5
2828,2,4,3,4,4,2,4,3,2,2,3,3,3,3,3,4,3,4,3,2,4,3,3,4,4,4,4
2829,4,3,3,4,3,2,3,4,4,2,3,3,2,4,4,4,4,3,4,3,4,4,4,3,4,3,4
2830,4,3,3,4,3,2,4,3,3,3,4,3,3,3,3,3,4,3,3,4,4,2,4,4,3,4,4
2831,2,3,2,2,1,2,3,2,1,1,3,4,2,1,4,2,4,4,3,3,3,2,3,1,3,2,4
2832,3,4,4,4,2,4,4,4,4,2,4,2,2,4,4,4,4,4,4,4,4,4,4,4,3,4,5
2833,4,4,4,4,4,4,5,4,4,4,4,5,4,5,5,4,4,5,4,4,4,3,4,4,5,4,5
2834,2,2,3,3,2,2,4,4,2,3,4,3,3,3,4,4,4,2,3,2,3,3,4,2,3,2,3
2835,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3
2836,5,3,5,5,1,2,5,4,5,1,5,5,3,3,5,5,4,4,5,5,5,3,3,5,5,5,5
2837,1,5,4,5,1,1,5,3,1,1,5,1,1,1,3,3,5,5,5,3,5,5,5,1,5,3,5
2838,2,4,2,4,4,4,5,4,2,2,4,2,2,4,4,5,4,3,4,4,1,5,3,4,4,2,5
2839,1,2,4,4,1,2,4,2,1,1,3,5,3,2,3,5,3,4,3,2,4,4,4,3,2,4,2
2840,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,4,3,3,3,3,3,5,3
2841,3,2,5,5,1,4,5,5,3,1,5,5,1,2,3,5,5,2,3,4,4,4,5,4,1,5,5
2842,2,4,2,4,2,2,4,4,2,2,4,2,2,2,4,4,4,4,4,4,4,4,4,2,2,2,4
2843,2,4,4,5,1,1,4,5,2,1,4,3,1,2,4,5,1,3,2,3,5,4,2,2,4,5,3
2844,5,4,4,4,4,4,5,4,5,4,5,4,4,4,5,3,4,5,4,5,4,4,5,4,4,5,5
2845,4,3,3,5,3,3,5,4,3,2,5,3,2,3,3,5,4,4,3,4,5,4,3,4,4,4,5
